autor	comentario	likes	date	PUBLICACION_CLEAN
Antonio Chavez	PERO Q BRUTA ESTA CONGRESISTA le está enseñándo q el presidente puede hablar lo q crea conveniente y ella dice lo contrario	0	2022-03-17T02:37:38Z	PERO Q BRUTA ESTA CONGRESISTA le está enseñándo q el presidente puede hablar lo q crea conveniente y ella dice lo contrario
n cr	ESTA CHIRINOS   RENUAJO ADEFECIO DE MUJER, EL PUEBLO DE REPUDIA CUANDO HABRE LA BOCA SOLO LE SAPOS Y CULEBRAS.	0	2022-03-17T02:32:27Z	ESTA CHIRINOS RENUAJO ADEFECIO DE MUJER, EL PUEBLO DE REPUDIA CUANDO HABRE LA BOCA SOLO LE SAPOS Y CULEBRAS.
Vilma Muñoz	Hacen un periodismo a base de suposiciones ? ! .Como uno se puede informar si algo es real cuando solo se imaginan de lo que piensan de otros ?basados en suposiciones de lo que supuestamente harán ? Supuestamente dirán ?,Supuestamente se imaginarán, wow que nivel de periodismo !	0	2022-03-17T02:11:06Z	Hacen un periodismo a base de suposiciones ? ! .Como uno se puede informar si algo es real cuando solo se imaginan de lo que piensan de otros ?basados en suposiciones de lo que supuestamente harán ? Supuestamente dirán ?,Supuestamente se imaginarán, wow que nivel de periodismo !
SUNDAY TANDACOS	Lo que si estoy seguro es que se te va a caer el calzón flojo que llevas	0	2022-03-17T01:32:20Z	Lo que si estoy seguro es que se te va a caer el calzón flojo que llevas
LITO soy	Le salió el tiro por la culata a la delincuente 🤣🤣🤣🤣🤣🤣🤣🤣 Los fujiapristas están por su taper. Lo bueno es que jamás ganará la jefa Keiko, y la prensa también ya fue 😂😂😂😂😂😂	0	2022-03-17T01:11:26Z	Le salió el tiro por la culata a la delincuente 🤣🤣🤣🤣🤣🤣🤣🤣 Los fujiapristas están por su taper. Lo bueno es que jamás ganará la jefa Keiko, y la prensa también ya fue 😂😂😂😂😂😂
Fernando Aranda Enriquez	La única delincuentes es esta señora Chirinos	0	2022-03-17T01:00:28Z	La única delincuentes es esta señora Chirinos
Eleodora Hurtado diaz	Jajajajajaj 😂 😂 😂 😂 jajajajaj das pena chirinos	0	2022-03-17T00:22:39Z	Jajajajajaj 😂 😂 😂 😂 jajajajaj das pena chirinos
Martha Correa	Jaja Jaja Jaja sus amos los mandaron al mismo cirujano parecen gemelas. Quieran o no el pueblo cerrará es a cloaca llena de mafiosos se escudan con que el presidente no puede pobres ilusos el  presidente si se le da la gana lo cierra y punto. Tanto que dicen Venezuela entonces que lo cierre por el bien del país. Y pacheco es el topo que la mafia metió para tumbarse a CASTILLO. O ya lo mandaste desaparecer como alos demás  ono chirinos?.	0	2022-03-16T22:50:05Z	Jaja Jaja Jaja sus amos los mandaron al mismo cirujano parecen gemelas. Quieran o no el pueblo cerrará es a cloaca llena de mafiosos se escudan con que el presidente no puede pobres ilusos el presidente si se le da la gana lo cierra y punto. Tanto que dicen Venezuela entonces que lo cierre por el bien del país. Y pacheco es el topo que la mafia metió para tumbarse a CASTILLO. O ya lo mandaste desaparecer como alos demás ono chirinos?.
Martha Correa	"Todos van ha caer si ven la chirinos esta mansa o la chika k le dio su te de <a href=""http://valeriana.la/"">valeriana.la</a> sorpresa es que BELLIDO VOLVERA HA SER MINISTRO."	0	2022-03-16T22:43:56Z	Todos van ha caer si ven la chirinos esta mansa o la chika k le dio su te de  sorpresa es que BELLIDO VOLVERA HA SER MINISTRO.
Martha Correa	Jaja Jaja Jaja el día que hable pacheco. Chirinos, lulú araoz,martha, chavez	0	2022-03-16T22:41:56Z	Jaja Jaja Jaja el día que hable pacheco. Chirinos, lulú araoz,martha, chavez
G MV	esta mujer debe ir a Magaly, no en noticias,	0	2022-03-16T22:40:39Z	esta mujer debe ir a Magaly, no en noticias,
ROY MARMOLEJO	iluminadas....	0	2022-03-16T19:45:39Z	iluminadas....
freddy rau	Bruno Pacheco y Karelim Lopez son la misma calaña par de mentirosos y los medios le creen, hasta ahora no han demostrado con pruebas nada	0	2022-03-16T19:18:08Z	Bruno Pacheco y Karelim Lopez son la misma calaña par de mentirosos y los medios le creen, hasta ahora no han demostrado con pruebas nada
Alejandro Lopez	Si quieren ser escuchados pongan una persona qué si tenga moral ponen a una delincuente y quieren hablar de vacancia y todavía es 3ra  vicepresidenta jajajaja eso es el CONGRESO nido de RATAS	0	2022-03-16T17:46:55Z	Si quieren ser escuchados pongan una persona qué si tenga moral ponen a una delincuente y quieren hablar de vacancia y todavía es 3ra vicepresidenta jajajaja eso es el CONGRESO nido de RATAS
Victor Alezandro Chavez Mas	Piensas que somos tontos tremendo farsante y mentiroso	0	2022-03-16T11:47:07Z	Piensas que somos tontos tremendo farsante y mentiroso
Victor Alezandro Chavez Mas	El comunista Pedro Castillo habló leguleyadas y sin fundamento	0	2022-03-16T11:46:31Z	El comunista Pedro Castillo habló leguleyadas y sin fundamento
Nelly Yolanda Garcia garcia	Escuchar a Castillo es una decepcion  .........<br>Pero de alli escuchar a la bruja Chirinos  que no tiene miedo<br>Tu de que te jactas?<br>Jajajajajaja	0	2022-03-16T10:46:34Z	Escuchar a Castillo es una decepcion ......... Pero de alli escuchar a la bruja Chirinos que no tiene miedo Tu de que te jactas? Jajajajajaja
Janeth rodriguez	Pobrecita hablan de respeto si ustedes no tienen que quiere decir jajsja voy presidenta sobervia arrogante como esa Alva porfavor	0	2022-03-16T07:49:43Z	Pobrecita hablan de respeto si ustedes no tienen que quiere decir jajsja voy presidenta sobervia arrogante como esa Alva porfavor
Cecilia Fajardo	la chirinos habla de Bruno Pacheco, con tanta seguridad de lo que tiene que hablar para hundir al presidente. sera que no lo ha convencido del todo para que la ayude en su plan golpista.	0	2022-03-16T07:45:50Z	la chirinos habla de Bruno Pacheco, con tanta seguridad de lo que tiene que hablar para hundir al presidente. sera que no lo ha convencido del todo para que la ayude en su plan golpista.
Pilar Espinoza	Esa mujer Chirinos no tiene respeto señora Chirinos te guste o no es presidente el pueblo lo ha elogiado así como te an elegido mira todo tu hoja de vida y juzga a los demás y no seas tan cinica	0	2022-03-16T07:19:18Z	Esa mujer Chirinos no tiene respeto señora Chirinos te guste o no es presidente el pueblo lo ha elogiado así como te an elegido mira todo tu hoja de vida y juzga a los demás y no seas tan cinica
Bittorio Ramirez	Va hablar de serratea de los treinta mil dólares y de los ascensos .de los sobrinos se volvió locuaz	0	2022-03-16T06:53:11Z	Va hablar de serratea de los treinta mil dólares y de los ascensos .de los sobrinos se volvió locuaz
Percy César Yataco Arones	Quiénes podrían escuchar a esa señora congresista,,,,,,sin comentarios....	0	2022-03-16T06:29:55Z	Quiénes podrían escuchar a esa señora congresista,,,,,,sin comentarios....
Ana Lopez	Estoy horrorizada con esta congresista y con esta periodista, no valen  nada.	0	2022-03-16T06:06:00Z	Estoy horrorizada con esta congresista y con esta periodista, no valen nada.
Armidadominguez Dominguez	Chirinos el miedo lo tienes TU    sabes lo que eres lo sabes entonces....??deveria darte verguenza ser lo que eres.....por favor.....Quien te crees....y tu que no lees jaja te crees perfecta gran CORRUPTA 😬	0	2022-03-16T06:04:17Z	Chirinos el miedo lo tienes TU sabes lo que eres lo sabes entonces....??deveria darte verguenza ser lo que favor.....Quien te crees....y tu que no lees jaja te crees perfecta gran CORRUPTA 😬
pool felix carmona	La verdad es que  Castillo y el congreso se larguen ,ambos son corruptos	0	2022-03-16T05:46:55Z	La verdad es que Castillo y el congreso se larguen ,ambos son corruptos
Yudith Cardenas	Y xq Mavila no le pregunta a esta congresista todos los casos d corrupción y d cicariato q tiene en su haber en el callao esta sinverguenza x eso la gente ya no cree en la prensa xq solo dicen basura	0	2022-03-16T05:39:28Z	Y xq Mavila no le pregunta a esta congresista todos los casos d corrupción y d cicariato q tiene en su haber en el callao esta sinverguenza x eso la gente ya no cree en la prensa xq solo dicen basura
Alonso Escobar Chiroque	"Mermelera,porque no le preguntas sobre sus vinculos con los delincuentes de chimpun callao(koury,moreno)y por la muerte de los hermanos <a href=""http://castillo.se/"">Castillo.Se</a> nota mucha condescendencia con esta delincuente."	1	2022-03-16T05:10:12Z	Mermelera,porque no le preguntas sobre sus vinculos con los delincuentes de chimpun callao(koury,moreno)y por la muerte de los hermanos Castillo.Se nota mucha condescendencia con esta delincuente.
Sadi Carnot	SABEMOS QUE HAY MUCHOS CONSTITUCIONALISTAS  Y TELEVISORAS CORRUPTAS QUE APOYAN  A ESTA SEÑORA Y A MUCHOS CORRUPTOS MAS AMPARADOS  EN LA POLITICAS NEOLIBERALES QUE IMPERAN EN MUCHOS PAISES DE LA LA URBE DE ESTAR  EN OTRO SISTEMA MINIMAMENTE ESTARIAMOS PRESOS  POR CORRUPTOS Y CORRUPTAS.	0	2022-03-16T04:41:24Z	SABEMOS QUE HAY MUCHOS CONSTITUCIONALISTAS Y TELEVISORAS CORRUPTAS QUE APOYAN A ESTA SEÑORA Y A MUCHOS CORRUPTOS MAS AMPARADOS EN LA POLITICAS NEOLIBERALES QUE IMPERAN EN MUCHOS PAISES DE LA LA URBE DE ESTAR EN OTRO SISTEMA MINIMAMENTE ESTARIAMOS PRESOS POR CORRUPTOS Y CORRUPTAS.
Irma Castañeda	Sigue la loca Chirinos.	0	2022-03-16T03:43:10Z	Sigue la loca Chirinos.
Ernesto Cosmos Chavez	"Mavila ni siquiera le dice, muestre usted respeto cuando se dirige al presidente <a href=""https://www.youtube.com/watch?v=V3nOpUTPnQc&amp;t=1m25s"">1:25</a> ... Es un maltrato por discriminación racial en este caso así lo veo."	0	2022-03-16T03:31:51Z	Mavila ni siquiera le dice, muestre usted respeto cuando se dirige al presidente 1:25 ... Es un maltrato por discriminación racial en este caso así lo veo.
Lepe Aedo	Este mi presidente castillo es un valiente peruano ,luchador	2	2022-03-16T03:28:45Z	Este mi presidente castillo es un valiente peruano ,luchador
AleX	Mermeleras de rodillas ante la bragueta de sus jefes korruptos,limpience la boca mermeleras.	0	2022-03-16T03:27:23Z	Mermeleras de rodillas ante la bragueta de sus jefes korruptos,limpience la boca mermeleras.
AleX	Cuando la kriminal hablas de democracia... podrá ser creible los vomitos de que es la estandarte de la democracia. Una kriminal vestida de blanco y rojo,bueno rojo si, por la sangre que lleva manchada en sus manos y con nombre de hermanos Castillo.	0	2022-03-16T03:25:30Z	Cuando la kriminal hablas de democracia... podrá ser creible los vomitos de que es la estandarte de la democracia. Una kriminal vestida de blanco y rojo,bueno rojo si, por la sangre que lleva manchada en sus manos y con nombre de hermanos Castillo.
Hernan Hurtado A.	La Sra Chirinos,.... Debe devolver el dinero que le paga el PERÚ, porque lo único que hace es Desestabilizar el País!!!!! Los corruptos piensan que todos son como ellos !!!!	0	2022-03-16T03:15:12Z	La Sra Chirinos,.... Debe devolver el dinero que le paga el PERÚ, porque lo único que hace es Desestabilizar el País!!!!! Los corruptos piensan que todos son como ellos !!!!
Orlando Luque	Las Ratas 🐀 quieren vacar a Castillo	0	2022-03-16T03:13:02Z	Las Ratas 🐀 quieren vacar a Castillo
