autor	comentario	likes	date	PUBLICACION_CLEAN
christian reyes	es un robo... miren les explico la pendejada en san isidro... en las begonias y alrededores de el centro de san isidro.. habian estacionamientos de 0.50 ctmos la media hora no se si se acordaran.. bueno...que hizo la municipalidad de san isidro??? cerro estos estacionamientos puso maseteros y ampliaron la vereda hasta la pista... luego los portales construyo un estacionamiento subterraneo en las begonias cruce con juan de arona  obligando a la gente a usar estos estacionamientos... ahora uds saben de quien es esa empresa q hace servicios de gruas para la municipalidad de san isidro????.. de Los Portales señores la misma empresa q tiene sus estacionamientos a precios impagables desde 7 soles a 14 soles hora fraccion dependiendo la zona ... supongo q en miraflores es la misma jugada... por eso q estas gruas levantan todo asi estes en zonas q no esten señalizadas o estes en tu propia casa.... es un amarre	0	2022-03-15T05:55:24Z	es un robo... miren les explico la pendejada en san isidro... en las begonias y alrededores de el centro de san isidro.. habian estacionamientos de 0.50 ctmos la media hora no se si se acordaran.. hizo la municipalidad de san isidro??? cerro estos estacionamientos puso maseteros y ampliaron la vereda hasta la pista... luego los portales construyo un estacionamiento subterraneo en las begonias cruce con juan de arona obligando a la gente a usar estos estacionamientos... ahora uds saben de quien es esa empresa q hace servicios de gruas para la municipalidad de san isidro????.. de Los Portales señores la misma empresa q tiene sus estacionamientos a precios impagables desde 7 soles a 14 soles hora fraccion dependiendo la zona ... supongo q en miraflores es la misma jugada... por eso q estas gruas levantan todo asi estes en zonas q no esten señalizadas o estes en tu propia casa.... es un amarre
Chris.Dav_83	Hay dos cosas que no me cuadran!!!! El comercio haciendo un reportaje de Miraflowers, parece que algún Miró Quesada les pasó esto... segundo parece que las mañas del Callao se están pegando en otros distritos!!!	0	2022-03-13T16:27:40Z	Hay dos cosas que no me cuadran!!!! El comercio haciendo un reportaje de Miraflowers, parece que algún Miró Quesada les pasó esto... segundo parece que las mañas del Callao se están pegando en otros distritos!!!
FZ. FOR THE WORLD, WORLDWIDE	En comas también hacen el mismo raterio,   la misma nota..	0	2022-03-13T02:59:14Z	En comas también hacen el mismo raterio, la misma nota..
Chris	Lean el reglamento y se evitan problemas.	0	2022-03-13T01:14:45Z	Lean el reglamento y se evitan problemas.
hitler lopez acaro	Fui hospital del.niño, entre por emergencia,y la grua aparecio en 5minutos, por llevarse mi carro,,,	0	2022-03-12T22:18:24Z	Fui hospital del.niño, entre por emergencia,y la grua aparecio en 5minutos, por llevarse mi carro,,,
felipe livia cama	Les tiro un dato lo mismo pasa en el hospital Cayetano en él área de urgencia en Honorio delgado	0	2022-03-12T11:48:47Z	Les tiro un dato lo mismo pasa en el hospital Cayetano en él área de urgencia en Honorio delgado
carlos vodero	La costumbre de dejar los autos en cualquier parte de la via genera los ingresos de la municipalidad...<br>.	0	2022-03-12T01:07:52Z	La costumbre de dejar los autos en cualquier parte de la via genera los ingresos de la municipalidad... .
Henry Tupac	No solo hay un abuso y un negociado, sino que todo está lleno de corrupción. Mi historia: se llevaron mi carro cerca de la 10, cuando fui por el la cochera estaba cerrada y no atendían hasta el día siguiente, cuando voy a día siguiente me cobran por dos días de estacionamiento, porque me dicen que debí recogerlo hasta las 12 de la noche del día anterior, pero cómo hago eso si solo atienden hasta las 10pm; encima de ello, cuando ya estaba cancelando lo que me pedían, llegó un señor por su carro y delante mío llamo a un funcionario de la Municipalidad de Miraflores, le dijo que lo apoye, que el conocía al alcalde y otras cosas, entonces lo llevaron a otro ambiente y se fue sin pagar nada. Increíble.	0	2022-03-11T18:42:00Z	No solo hay un abuso y un negociado, sino que todo está lleno de corrupción. Mi historia: se llevaron mi carro cerca de la 10, cuando fui por el la cochera estaba cerrada y no atendían hasta el día siguiente, cuando voy a día siguiente me cobran por dos días de estacionamiento, porque me dicen que debí recogerlo hasta las 12 de la noche del día anterior, pero cómo hago eso si solo atienden hasta las 10pm; encima de ello, cuando ya estaba cancelando lo que me pedían, llegó un señor por su carro y delante mío llamo a un funcionario de la Municipalidad de Miraflores, le dijo que lo apoye, que el conocía al alcalde y otras cosas, entonces lo llevaron a otro ambiente y se fue sin pagar nada. Increíble.
Ivan carpio Lima	Es un negocio muy rentable	1	2022-03-11T16:51:01Z	Es un negocio muy rentable
Jhon Delgado coronel	Que. Tal. Mafia. Donde. Esta. Castillo. Que. No. Sanciona. Con. Pena. De. Carcel. A. Ese. Alcalde. Asaltante	0	2022-03-11T10:37:20Z	Que. Tal. Mafia. Donde. Esta. Castillo. Que. No. Sanciona. Con. Pena. De. Carcel. A. Ese. Alcalde. Asaltante
Jhon Delgado coronel	Para. Eso. Es. Bueno. El. Ministerio. De. Trasportes. Pero. Para. Los. Delincuentes. Nunca. Asen. Nana. La. Municipalidad. Por. Eso. Los. Alcaldes. Buscan. Como. Sacar. Plata.	0	2022-03-11T10:34:45Z	Para. Eso. Es. Bueno. El. Ministerio. De. Trasportes. Pero. Para. Los. Delincuentes. Nunca. Asen. Nana. La. Municipalidad. Por. Eso. Los. Alcaldes. Buscan. Como. Sacar. Plata.
Cesar Gonzalez	Que negocio del ALCALDE LADRON Y SECUASES  FREDDY QUIROZ , aplica la ley ahora y cuando el no era alcalde hacia lo mismo y no se llevaban su coche , ASI PAGARAS TU TELEFERICO LADRON	0	2022-03-10T19:15:59Z	Que negocio del ALCALDE LADRON Y SECUASES FREDDY QUIROZ , aplica la ley ahora y cuando el no era alcalde hacia lo mismo y no se llevaban su coche , ASI PAGARAS TU TELEFERICO LADRON
Carlos Felipa	Es un aprovechamiento, pendejasos los administradores y autoridades municipales. Se la saben toda	0	2022-03-10T14:55:48Z	Es un aprovechamiento, pendejasos los administradores y autoridades municipales. Se la saben toda
blessingmusic	Reverendos rateros !!!!	0	2022-03-10T11:55:28Z	Reverendos rateros !!!!
Lamborghini plus	Rompanle la puerta	0	2022-03-10T06:56:53Z	Rompanle la puerta
Marby 0scar La serna novoa	Que bueno que agan eso la Municipalidad para que alla plata y puedan a ser obras todas las municipalidades deberian ser lo mismo	0	2022-03-09T14:04:01Z	Que bueno que agan eso la Municipalidad para que alla plata y puedan a ser obras todas las municipalidades deberian ser lo mismo
makako 25	Esos buitres paran rondando por autos, ahora entiendo el porque… con ese bono que les cae.	0	2022-03-09T02:40:17Z	Esos buitres paran rondando por autos, ahora entiendo el porque… con ese bono que les cae.
CastNight69	No solamente es Miraflores en Surco son más abusivos van en mancha y te levantan	0	2022-03-09T02:20:34Z	No solamente es Miraflores en Surco son más abusivos van en mancha y te levantan
Edilberto Tenorio Galindo	Son basuras esos municipios y adónde se va todo ése dinero robado a los ciudadanos al bolsillo claro	0	2022-03-09T01:30:24Z	Son basuras esos municipios y adónde se va todo ése dinero robado a los ciudadanos al bolsillo claro
Jhan Ferrer	Quieren hacer como sierra de uu,ee	0	2022-03-08T21:49:41Z	Quieren hacer como sierra de uu,ee
Juanka MOVIES	En San Isidro es igual o peor. andan al acecho como ambrientos y siempre hay un comun denominador, son autos de dueños pudientes que alas horas sacan su carro y el municipio (parte de la red abusiva) se hacen de dinero facil trabajando poco, ACASO UDS VEN CARROS VIEJOS O COMBIS? no claro que no, esos vehiculos les hacen perder dinero, en principio no lo sacan y eso perjudica al deposito porq ocupan un espacio donde el pituco si paga por sacar su carro.	0	2022-03-08T18:47:02Z	En San Isidro es igual o peor. andan al acecho como ambrientos y siempre hay un comun denominador, son autos de dueños pudientes que alas horas sacan su carro y el municipio (parte de la red abusiva) se hacen de dinero facil trabajando poco, ACASO UDS VEN CARROS VIEJOS O COMBIS? no claro que no, esos vehiculos les hacen perder dinero, en principio no lo sacan y eso perjudica al deposito porq ocupan un espacio donde el pituco si paga por sacar su carro.
Jose Huertas	No solo en es distrito vengan a comas hacen lo mismo	0	2022-03-08T12:24:14Z	No solo en es distrito vengan a comas hacen lo mismo
Oscar Rodriguez	Ladrones sinvergüenzas.... muy pitucos dicen ser... , pero se comportan igual que cualquier delincuente...	0	2022-03-08T05:20:04Z	Ladrones sinvergüenzas.... muy pitucos dicen ser... , pero se comportan igual que cualquier delincuente...
nobert Salud	jajajaja, cuando les afecta a ellos, publican estos videos pero cuando le afecta a la clase baja no dicen nada	0	2022-03-08T00:15:54Z	jajajaja, cuando les afecta a ellos, publican estos videos pero cuando le afecta a la clase baja no dicen nada
ALBERT RAMIREZ MORILLO	EMERGENCÍA SE IMPUGNA DEMOSTRARLO LAS MUNICIPACILIDADES NO SIEMPRE PINTAN PERO AUN ASÍ HAY QUE RESPETAR	1	2022-03-07T23:14:27Z	EMERGENCÍA SE IMPUGNA DEMOSTRARLO LAS MUNICIPACILIDADES NO SIEMPRE PINTAN PERO AUN ASÍ HAY QUE RESPETAR
ALBERT RAMIREZ MORILLO	ESTACIONEN COMO DEBE DE SER NOMAS.	0	2022-03-07T23:12:25Z	ESTACIONEN COMO DEBE DE SER NOMAS.
julio murillo	Pa que aprendan !!  Gahhh	0	2022-03-07T19:36:56Z	Pa que aprendan !! Gahhh
Christian Orizano	Yo paro en todo miraflores... Y los carros estan estacionados en todos lados ocupando un carril ocupado. .Ahora si no tienen estacionamiento para q se compran carros..... deberian pensar primero en eso	0	2022-03-07T14:05:46Z	Yo paro en todo miraflores... Y los carros estan estacionados en todos lados ocupando un carril ocupado. .Ahora si no tienen estacionamiento para q se compran carros..... deberian pensar primero en eso
Jurghens Isaak Aicardi	Pero la gente incumple la norma, hay que escoger que ley sanciona y cual no?	3	2022-03-07T01:52:59Z	Pero la gente incumple la norma, hay que escoger que ley sanciona y cual no?
Luis Arteaga	Contraloría y SUNAT debe clausurar esos depósitos municipales y cortar esa mafia	0	2022-03-06T23:55:57Z	Contraloría y SUNAT debe clausurar esos depósitos municipales y cortar esa mafia
Luis Arteaga	Ese el negocio de todos los.municipios, tienen cuota mensual de una cantidad determinada para cubrir su caja.<br>Es una mafia	0	2022-03-06T23:51:48Z	Ese el negocio de todos los.municipios, tienen cuota mensual de una cantidad determinada para cubrir su caja. Es una mafia
Denis Bravo Palomino	Es un abuso de las municipalidades q no señalizan y es en la mayoría de los distritos aplicando la ley pero ellos están en falta por no señalizan y es en la mayoría de los distritos en especial comas es un gran robo donde están las autoridades q no ven ese abuso	1	2022-03-06T23:33:47Z	Es un abuso de las municipalidades q no señalizan y es en la mayoría de los distritos aplicando la ley pero ellos están en falta por no señalizan y es en la mayoría de los distritos en especial comas es un gran robo donde están las autoridades q no ven ese abuso
Edgard cervantes	Mafia	0	2022-03-06T20:59:59Z	Mafia
Sonic eventos A1	Deberían ir a la victoria también. Solo ven distritos pitucos...	0	2022-03-06T19:51:15Z	Deberían ir a la victoria también. Solo ven distritos pitucos...
Marcelo Vargas cubas	Todo ésto es un negociado, eso es un robo descarado , políticos y todo su entorno , está bien que lo lleven , pero que no cobren tan caro.	0	2022-03-06T17:22:02Z	Todo ésto es un negociado, eso es un robo descarado , políticos y todo su entorno , está bien que lo lleven , pero que no cobren tan caro.
jesucristo mi salvador	Es un sistema de robo por las autoridades que solo quieren llegar al poder .para llenarse los bolsillos de dinero de la gente trabajadora honrada	0	2022-03-06T16:43:38Z	Es un sistema de robo por las autoridades que solo quieren llegar al poder .para llenarse los bolsillos de dinero de la gente trabajadora honrada
Marco Chang	No sigo al comercio ,pero buen reportaje al fin , solo una cosa ,Por qué tienes que nombrar al pobre portero . Capaz lo saquen sin ser culpable de nada.	1	2022-03-06T16:12:36Z	No sigo al comercio ,pero buen reportaje al fin , solo una cosa ,Por qué tienes que nombrar al pobre portero . Capaz lo saquen sin ser culpable de nada.
Carlos Correa	Sigan con estos reportajes El Comercio	1	2022-03-06T14:11:30Z	Sigan con estos reportajes El Comercio
Miguel	Hay personal para llevarse carros pero para cuidar las calles falta gente no? Que bonita gestión del alcalde	9	2022-03-06T14:11:26Z	Hay personal para llevarse carros pero para cuidar las calles falta gente no? Que bonita gestión del alcalde
Carlos Garcia	Lo mas triste es que ahora las municipalidades contratan extranjeros al volante y de copiloto un inspector municipal ,ambos sin mscarilla ,conducen temerariamente ,en contra del transito ,ponen un par de delincuentuchos a operar en las gruas ,de mal en peor las nefastas autoridades en el pais	2	2022-03-06T11:39:22Z	Lo mas triste es que ahora las municipalidades contratan extranjeros al volante y de copiloto un inspector municipal ,ambos sin mscarilla ,conducen temerariamente ,en contra del transito ,ponen un par de delincuentuchos a operar en las gruas ,de mal en peor las nefastas autoridades en el pais
Walter Chamorro	Las infracciones solo es un negocio como en seguridad ciudadana y todo es inseguro pero te cobran	1	2022-03-06T07:56:07Z	Las infracciones solo es un negocio como en seguridad ciudadana y todo es inseguro pero te cobran
Jose Gutierrez	Eso también pasa en barranco, y no te dan descuento y son abusivos con sus multas, deberían investigar cuanto reciben de comisión y dónde van el dinero injustamente cobrado.... Ojalá se sancione a estos malos funcionarios que lucran con este tipo de medidas...	2	2022-03-06T05:30:22Z	Eso también pasa en barranco, y no te dan descuento y son abusivos con sus multas, deberían investigar cuanto reciben de comisión y dónde van el dinero injustamente cobrado.... Ojalá se sancione a estos malos funcionarios que lucran con este tipo de medidas...
Domelipa mi patrona	Lo mismo sucede en el municipio de la Victoria. Usan esta modalidad para generar recursos a costas de la necesidad de las personas. Quien fiacliza estos ingresos a donde va a parar y la Victoria es por demás un distrito totalmente destartalado desordenado por último te levantan con chofer conduciendo en una calle rota llena de vehículos realmente abandonados... abandonados pero te cogen a ti que te paras par realizar una descarga de productos a un cliente... así estamos  señores.	0	2022-03-06T02:52:39Z	Lo mismo sucede en el municipio de la Victoria. Usan esta modalidad para generar recursos a costas de la necesidad de las personas. Quien fiacliza estos ingresos a donde va a parar y la Victoria es por demás un distrito totalmente destartalado desordenado por último te levantan con chofer conduciendo en una calle rota llena de vehículos realmente abandonados... abandonados pero te cogen a ti que te paras par realizar una descarga de productos a un cliente... así estamos señores.
Dilmer Jhan del Piero Abregu Ch	Tienen que recuperar el dinero invertido increíble	0	2022-03-05T21:23:44Z	Tienen que recuperar el dinero invertido increíble
Maricielo nicol Acuña suaso	es una manera de robarle al pueblo  y la pregunta es a donde se va ese dinero??	0	2022-03-05T21:05:25Z	es una manera de robarle al pueblo y la pregunta es a donde se va ese dinero??
liam 16	Las municipalidades cobran demasiado a los vehículos asta por cojudeses	0	2022-03-05T18:54:21Z	Las municipalidades cobran demasiado a los vehículos asta por cojudeses
seik uno	"Remodela la calle de pizzas para que su negocio familiar tenga mejor ingreso y encima pide apoyo presupuestal al gobierno para la remodelación del malecón Armendáriz..... agárrense que se lanza para la alcaldía de Lima!!! <a href=""http://www.youtube.com/results?search_query=%23molinaalcaldelima"">#molinaalcaldelima</a>"	0	2022-03-05T16:30:50Z	Remodela la calle de pizzas para que su negocio familiar tenga mejor ingreso y encima pide apoyo presupuestal al gobierno para la remodelación del malecón Armendáriz..... agárrense que se lanza para la alcaldía de Lima!!! #molinaalcaldelima
Jorge Diaz	Parquear en la vía publica no es correcto, y que se lleven el auto esta bien . Lo que esta mal es el monto a pagar es demasiado y aparte de ello la municipalidad no ofrece soluciones, deberían crear mas cocheras.	0	2022-03-05T15:43:32Z	Parquear en la vía publica no es correcto, y que se lleven el auto esta bien . Lo que esta mal es el monto a pagar es demasiado y aparte de ello la municipalidad no ofrece soluciones, deberían crear mas cocheras.
Diana Fuentes	Tanto dinero sacan y no pueden poner más seguridad.....y otro hay un tiempo y solo se llevan vehículos en abandonó	0	2022-03-05T15:42:17Z	Tanto dinero sacan y no pueden poner más seguridad.....y otro hay un tiempo y solo se llevan vehículos en abandonó
alexander vilchez bardales	DEBERÍAN INVESTIGAR A LOS BANCOS EN ESPECIAL AL BANCO CONTINENTAL YA QUE HAY SUPUESTAS MAFIAS INTERNAS Y EXTERNAS QUE BRINDAN INFORMACIÓN CONFIDENCIAL DE LOS CLIENTES Y A LA VEZ AYUDAN A LA CLONACION DE TARJETAS PRESTAMOS TRANSFERENCIA DE CUENTAS SOMOS UN GRUPO DE PERSONAS QUE TENEMOS QUE YA FUIMOS A LA TV Y INFORMACIÓN DEL PERSONAL QUE DICE QUE SI HACEN ESO PARA LUCRAR	0	2022-03-05T14:05:22Z	DEBERÍAN INVESTIGAR A LOS BANCOS EN ESPECIAL AL BANCO CONTINENTAL YA QUE HAY SUPUESTAS MAFIAS INTERNAS Y EXTERNAS QUE BRINDAN INFORMACIÓN CONFIDENCIAL DE LOS CLIENTES Y A LA VEZ AYUDAN A LA CLONACION DE TARJETAS PRESTAMOS TRANSFERENCIA DE CUENTAS SOMOS UN GRUPO DE PERSONAS QUE TENEMOS QUE YA FUIMOS A LA TV Y INFORMACIÓN DEL PERSONAL QUE DICE QUE SI HACEN ESO PARA LUCRAR
estefano castillo	Igual pasa en los conos de Lima con las mototaxis cuando se la llevan cobran el 25 % UIT como 1000 soles y sin descuento.	1	2022-03-05T04:16:36Z	Igual pasa en los conos de Lima con las mototaxis cuando se la llevan cobran el 25 % UIT como 1000 soles y sin descuento.
El franco	Ese alcalde de Miraflores ahí le.pone ganas , pero para contratar a asesinos y dejar que roben en cualquier lugar , no le pone ganas de hacer un buen trabajo .<br>Encima es el de la gran idea de que dos no vayan en una moto como si todos fueran delincuentes . <br>Además quiere postular a la alcaldía de lima , este viejo huevón y mafioso .<br>No voten por el	0	2022-03-05T04:10:35Z	Ese alcalde de Miraflores ahí ganas , pero para contratar a asesinos y dejar que roben en cualquier lugar , no le pone ganas de hacer un buen trabajo . Encima es el de la gran idea de que dos no vayan en una moto como si todos fueran delincuentes . Además quiere postular a la alcaldía de lima , este viejo huevón y mafioso . No voten por el
Jorge Valdez	EN ESTE PAIS, LA UNICA MANERA EN QUE TENGAN MAS CONCIENCIA EN SUS FALTAS, ES CORTAR DE RAIZ..Y NO SER BLANDOS.	0	2022-03-05T04:02:11Z	EN ESTE PAIS, LA UNICA MANERA EN QUE TENGAN MAS CONCIENCIA EN SUS FALTAS, ES CORTAR DE RAIZ..Y NO SER BLANDOS.
DAVIS ROQUE ANDIA	Excelente reportaje<br>Lo que se esperaría es que se pronuncien.<br>Por qué si es un robo lo que acen<br>Pueden sancionarte mmm digamos que si.<br>Pero que solución le da al problema las municipalidades?<br>O es mejor para ellos que siga el sistema como esta?	1	2022-03-05T03:39:18Z	Excelente reportaje Lo que se esperaría es que se pronuncien. Por qué si es un robo lo que acen Pueden sancionarte mmm digamos que si. Pero que solución le da al problema las municipalidades? O es mejor para ellos que siga el sistema como esta?
oswa melendez	La gente deja sus autos en la calles, se suben a la verdad y hacen lo que quieren  la verdad cansa eso	0	2022-03-05T02:42:37Z	La gente deja sus autos en la calles, se suben a la verdad y hacen lo que quieren la verdad cansa eso
José Ramirez	Es una exageración se tiene que investigar y debe ser modificada esa ordenanza sólo debe ser utilizada en casos extremos	0	2022-03-05T02:25:51Z	Es una exageración se tiene que investigar y debe ser modificada esa ordenanza sólo debe ser utilizada en casos extremos
Cubo	Obviamente uno nunca va aceptar la falta , la calle nos es cochera y punto no hay nada que discutir , el comercio medio de comunicación mediocre contrata a personal mediocre	0	2022-03-05T01:54:01Z	Obviamente uno nunca va aceptar la falta , la calle nos es cochera y punto no hay nada que discutir , el comercio medio de comunicación mediocre contrata a personal mediocre
Oscar William Rodriguez Alva	donde está la Contraloría ,? no quieren ver ¡¡ hay complicidad administrativa.	0	2022-03-05T01:07:17Z	donde está la Contraloría ,? no quieren ver ¡¡ hay complicidad administrativa.
luis santiago	Y si solo nos pegan la papeleta, toman foto que estoy mal estacionado, y así no cobran la grúa. La papeleta se entiende, pero la grúa y el parqueo no	0	2022-03-05T00:10:36Z	Y si solo nos pegan la papeleta, toman foto que estoy mal estacionado, y así no cobran la grúa. La papeleta se entiende, pero la grúa y el parqueo no
compulab	Fuera los corruptos!	0	2022-03-04T22:50:56Z	Fuera los corruptos!
Sendujapa	Y el distrito de surco también pasa lo mismo	0	2022-03-04T22:26:47Z	Y el distrito de surco también pasa lo mismo
HEADSPINSTV	En Miami Beach hacen lo mismo, te ponen varios carteles para que te confundas y te llevan tu carro, un costo de más o menos $450 si Lo recojes el mismo día, si pasan los días hay más costo por tener el carro en el depósito.	1	2022-03-04T16:12:23Z	En Miami Beach hacen lo mismo, te ponen varios carteles para que te confundas y te llevan tu carro, un costo de más o menos $450 si Lo recojes el mismo día, si pasan los días hay más costo por tener el carro en el depósito.
ANGELO STEVEN GERONIMO URRUTIA	Que por favor averiguen que fue del vigilante que les dio más información que nadie.	1	2022-03-04T14:28:43Z	Que por favor averiguen que fue del vigilante que les dio más información que nadie.
WR Hobbies	Gracias a estos operativos, en mi urbanización dejaron de ocupar un carril q originaba problemas de encontrarse con otro carro de frente y no poder seguir avanzando.. Ahora se puede circular tranquilamente. 👍. Ojalá se generalice y la gente entienda q las pistas no son estacionamientos	20	2022-03-04T10:32:16Z	Gracias a estos operativos, en mi urbanización dejaron de ocupar un carril q originaba problemas de encontrarse con otro carro de frente y no poder seguir avanzando.. Ahora se puede circular tranquilamente. 👍. Ojalá se generalice y la gente entienda q las pistas no son estacionamientos
Julio Jara	Yo quemo la grua con todo y sereno	0	2022-03-04T05:53:10Z	Yo quemo la grua con todo y sereno
Julio Jara	De una manera hay q sacar el salario de planilla administrativa y gollerias	0	2022-03-04T05:52:20Z	De una manera hay q sacar el salario de planilla administrativa y gollerias
Percy Gaspar	Difundan en las redes este abuso ....	1	2022-03-04T02:54:03Z	Difundan en las redes este abuso ....
Manuel Carbajulca	Es facil, para hacer que las municipalidades no se beneficien de esto, paguen su cochera o en todo caso si se pueden estacionar a lado isquierdo en una via de dos mas carriles de un solo sentido siempre y cuando no este pintado con linea amarilla, menos cerca a un hidrante contra incendios, tampoco estacionen sobre una señal de transito., Y si van a una Clinica mejor llamen un taxi. Lean las prohibiciones de estacionamiento muchas veces solo creemos que tiene que estar pintado de amarillo para no poder estacionar...	0	2022-03-04T01:54:33Z	Es facil, para hacer que las municipalidades no se beneficien de esto, paguen su cochera o en todo caso si se pueden estacionar a lado isquierdo en una via de dos mas carriles de un solo sentido siempre y cuando no este pintado con linea amarilla, menos cerca a un hidrante contra incendios, tampoco estacionen sobre una señal de transito., Y si van a una Clinica mejor llamen un taxi. Lean las prohibiciones de estacionamiento muchas veces solo creemos que tiene que estar pintado de amarillo para no poder estacionar...
Jaime Ortiz	Sencillo , si no quieres hacer ganar a las grúas, no cometas infracciones	0	2022-03-04T00:47:07Z	Sencillo , si no quieres hacer ganar a las grúas, no cometas infracciones
PIT	POR QUE NO INSENTIVAN A LOS POLICIAS POR CADA CHORO QUE MATAN UN BONO ESO LA CIUDADANIA LES ESTARA AGRADECIDO	0	2022-03-03T16:53:12Z	POR QUE NO INSENTIVAN A LOS POLICIAS POR CADA CHORO QUE MATAN UN BONO ESO LA CIUDADANIA LES ESTARA AGRADECIDO
PIT	ESTA MUY BIEN , PERO QUE ESE DINERO LO UTILICEN PARA HACER ALGO EN LA CIUDAD PINTARLA , NO MAS AUTOS EN LAS  CALLES Y PUNTO COMO EN JAPON SI NO TIENES COCHERA NO TENGAS AUTO	0	2022-03-03T16:52:15Z	ESTA MUY BIEN , PERO QUE ESE DINERO LO UTILICEN PARA HACER ALGO EN LA CIUDAD PINTARLA , NO MAS AUTOS EN LAS CALLES Y PUNTO COMO EN JAPON SI NO TIENES COCHERA NO TENGAS AUTO
Pedro Marín zegarra	Que manera de hacer dinero fácil ,no contestan por vergüenza ,esta bien el orden pero esto es un negocio a destajo.. Mala señalización también en todos los distritos.	0	2022-03-03T13:59:38Z	Que manera de hacer dinero fácil ,no contestan por vergüenza ,esta bien el orden pero esto es un negocio a destajo.. Mala señalización también en todos los distritos.
Jaime Soriano	SEÑALIZACION SRES MUNICIPALES,  Y NO HABRA PROBLEMAS CON LAS PERSONAS ,	0	2022-03-03T10:40:03Z	SEÑALIZACION SRES MUNICIPALES, Y NO HABRA PROBLEMAS CON LAS PERSONAS ,
Angela Nuñez	No quieres que te multen no dejes  abandonado tu carro en la calle o te lo roban o estos abusivos hacen su agosto contigo	0	2022-03-03T04:53:15Z	No quieres que te multen no dejes abandonado tu carro en la calle o te lo roban o estos abusivos hacen su agosto contigo
Saint R	Se debe penalizar a quien use esos sistemas informáticos de liberación, o por lo menos contar con un registro y licencia de uso de estos sistemas. Aumentar penas de cárcel y multas a quien libere y compre estos teléfonos.	0	2022-05-24T20:23:58Z	Se debe penalizar a quien use esos sistemas informáticos de liberación, o por lo menos contar con un registro y licencia de uso de estos sistemas. Aumentar penas de cárcel y multas a quien libere y compre estos teléfonos.
Noemi Cruz	Porque todos son de Entel? xd	0	2022-04-18T18:30:43Z	Porque todos son de Entel? xd
Arthur Dd	"<a href=""https://www.youtube.com/watch?v=YyWeavD2BTY&amp;t=4m35s"">4:35</a> jajajajja"	0	2022-04-09T23:37:43Z	4:35 jajajajja
valeria saya	En una oportunidad compramos un celular de segunda y de una semana de uso ni mas prendio, Perdimos lo invertido y de ahi ni mas celulares de segunda... robados..	0	2022-04-09T02:26:29Z	En una oportunidad compramos un celular de segunda y de una semana de uso ni mas prendio, Perdimos lo invertido y de ahi ni mas celulares de segunda... robados..
Edwin P.	ESO DEBERIAN HACER CADA CIERTO TIEMPO O CADA SEMANA Y VERÁN CÓMO BAJA EL ROBO DE CELULARES, PERO  NO HACEN ESO	0	2022-04-05T03:20:01Z	ESO DEBERIAN HACER CADA CIERTO TIEMPO O CADA SEMANA Y VERÁN CÓMO BAJA EL ROBO DE CELULARES, PERO NO HACEN ESO
silvia De La vega	Levante la ✋ mano a quien no le han robado su celular😂😂	0	2022-04-04T16:26:47Z	Levante la ✋ mano a quien no le han robado su celular😂😂
isaiass aquino	quien cuenta eso	0	2022-04-03T02:55:45Z	quien cuenta eso
Diana VI	Quién compra un celular robado también contribuye al este mal. Eso celulares bienes manchados	0	2022-04-02T02:28:42Z	Quién compra un celular robado también contribuye al este mal. Eso celulares bienes manchados
Ana Soria	Pueden haber matado al dueño de ese celular	0	2022-03-31T12:26:05Z	Pueden haber matado al dueño de ese celular
Ana Soria	No comprar	0	2022-03-31T12:25:35Z	No comprar
Ana Soria	Deben comprar con su estuche original	0	2022-03-31T12:24:33Z	Deben comprar con su estuche original
Ana Soria	No compren ahí	0	2022-03-31T12:24:06Z	No compren ahí
Ana Soria	Control a tapeto	0	2022-03-31T12:22:55Z	Control a tapeto
Fernando Segovia	Estos celulares robados deben ser incinerados por la policia	0	2022-03-30T12:41:29Z	Estos celulares robados deben ser incinerados por la policia
Milton Hernández	Se creen grandes emprendedores con su puesto de celulares robados... que asco	0	2022-03-28T05:44:23Z	Se creen grandes emprendedores con su puesto de celulares robados... que asco
su vall	Los policías deberías hacer ROBOS DE CELULAR TIPO CEBO, consiste en caminar por la calle con un celular sabiendo q te lo van a arranchar y los policías vestidos de civil estar alrededor para atrapar al delincuente, así caerían los choros como lo moscas!!!!	0	2022-03-27T15:19:38Z	Los policías deberías hacer ROBOS DE CELULAR TIPO CEBO, consiste en caminar por la calle con un celular sabiendo q te lo van a arranchar y los policías vestidos de civil estar alrededor para atrapar al delincuente, así caerían los choros como lo moscas!!!!
Ranty M	Tierra de nadie	0	2022-03-26T04:00:02Z	Tierra de nadie
brunazo03	Q tríste	0	2022-03-26T03:11:42Z	Q tríste
angel angel	Y la pregunta es ,a donde van esos celulares incautados,a los bolsillos de los policías	0	2022-03-25T23:03:21Z	Y la pregunta es ,a donde van esos celulares incautados,a los bolsillos de los policías
angel angel	Una cosa nomas,no sean tan imbéciles de estar en la calle o el la movilidad con el celular en la mano prácticamente diciendo &quot; hay robame&quot; no sean tarados	0	2022-03-25T22:55:47Z	Una cosa nomas,no sean tan imbéciles de estar en la calle o el la movilidad con el celular en la mano prácticamente diciendo &quot; hay robame&quot; no sean tarados
Norma Vidal	A mí me robaron dos veces pero nunca compre un celular robado y ahora menos .	0	2022-03-25T19:16:35Z	A mí me robaron dos veces pero nunca compre un celular robado y ahora menos .
